Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
ハマキョウレックス,9037,2024-07-17,4755.0,4700.0,4700.0,125.7,2.1,85.0,3.6,-2.3,74.3,40.5,79.0,73.3,287.6,61.5,0,0,0,1,1,0
サカイ引越センター,9039,2024-07-17,2643.0,2660.0,2860.0,35.5,2.0,12.9,1.4,-2.9,59.8,39.0,66.5,63.4,293.9,55.6,0,0,0,0,0,0
近鉄グループホールディングス,9041,2024-07-17,3535.0,3537.0,5157.0,-12.9,3.9,-15.9,2.0,-2.9,49.0,38.4,57.8,49.7,149.2,51.7,0,0,0,0,0,0
阪急阪神ホールディングス,9042,2024-07-17,4270.0,4356.0,5690.0,41.7,-0.3,35.4,0.1,-2.5,54.0,40.7,55.5,58.0,166.5,56.5,0,0,0,0,0,0
南海電気鉄道,9044,2024-07-17,2695.5,2697.0,3400.0,-3.0,1.7,-7.3,1.2,-2.3,50.4,40.4,56.8,50.8,95.8,57.2,0,0,0,0,0,0
京阪ホールディングス,9045,2024-07-17,2903.0,2938.0,4235.0,-29.5,3.7,-9.9,1.3,-3.0,46.0,36.0,53.2,44.5,112.6,51.6,0,0,0,0,0,0
神戸電鉄,9046,2024-07-17,2775.0,2800.0,3260.0,5.1,0.6,9.2,0.2,-1.5,51.7,40.0,53.9,52.8,85.9,50.8,0,0,0,0,0,0
名古屋鉄道,9048,2024-07-17,1794.5,1800.0,2472.0,-24.8,3.4,-15.9,1.5,-2.7,45.2,37.7,53.7,44.5,137.4,48.0,0,0,0,0,0,0
山陽電気鉄道,9052,2024-07-17,2033.0,2138.0,2465.0,-5.4,-1.5,-0.8,-0.8,-1.7,42.7,41.8,38.6,43.8,57.0,50.4,0,0,0,0,0,0
アルプス物流,9055,2024-07-17,5730.0,5740.0,5740.0,99.9,-7.4,55.6,0.1,-2.3,83.2,43.5,75.5,79.1,132.6,65.5,0,0,0,0,0,0
トランコム,9058,2024-07-17,6150.0,6600.0,7760.0,19.1,-11.2,73.0,-0.8,-2.8,48.2,38.2,44.0,48.5,92.3,58.4,0,0,0,0,0,0
ヤマトホールディングス,9064,2024-07-17,1838.5,1867.0,2768.5,5.3,2.9,13.8,1.6,-3.3,51.7,35.9,60.1,55.2,144.7,59.1,0,0,0,0,0,0
山九,9065,2024-07-17,5416.0,5763.0,5850.0,-23.5,-0.9,-19.5,0.1,-2.5,48.6,41.8,47.6,45.8,58.8,62.1,0,0,0,0,0,1
日新,9066,2024-07-17,4640.0,4925.0,4925.0,93.1,-9.8,60.3,-0.5,-3.0,57.4,43.1,52.0,56.3,155.9,68.9,0,0,0,0,0,0
丸全昭和運輸,9068,2024-07-17,5400.0,5590.0,5590.0,88.2,-2.5,28.8,0.9,-2.5,59.0,43.4,58.9,58.9,148.6,63.5,0,0,0,0,0,0
センコーグループホールディングス,9069,2024-07-17,1114.0,1153.0,1208.0,-5.6,0.0,-7.0,0.1,-1.8,46.8,42.2,47.1,44.4,61.9,71.2,0,0,0,0,0,1
トナミホールディングス,9070,2024-07-17,5980.0,6800.0,6800.0,220.7,-29.5,123.4,-2.2,-3.3,54.8,41.5,48.8,58.4,89.6,57.0,0,0,0,0,0,0
ニッコンホールディングス,9072,2024-07-17,3701.0,3759.0,3759.0,143.6,-2.3,80.4,2.0,-2.4,67.1,41.9,69.7,67.6,211.0,66.9,0,0,0,0,0,0
福山通運,9075,2024-07-17,4100.0,4155.0,4375.0,34.2,2.2,34.4,3.0,-3.4,59.5,39.4,64.7,56.3,142.6,52.1,0,0,0,0,0,0
セイノーホールディングス,9076,2024-07-17,2270.0,2270.0,2333.0,34.4,1.7,16.1,2.2,-2.6,64.8,41.0,72.7,66.6,195.7,54.7,0,0,0,0,0,0
神奈川中央交通,9081,2024-07-17,3250.0,3290.0,3380.0,34.9,2.7,23.7,1.9,-1.7,61.6,41.7,66.5,60.7,238.2,45.2,0,0,0,0,0,0
ＡＺ－ＣＯＭ丸和ホールディングス,9090,2024-07-17,1297.0,1251.0,2309.0,-5.9,3.5,27.7,8.2,-4.1,58.3,36.9,65.7,50.5,91.9,54.6,0,0,0,1,0,0
Ｃ＆Ｆロジホールディングス,9099,2024-07-17,5860.0,6060.0,6060.0,163.3,-9.2,113.1,1.7,-3.6,72.2,41.6,74.0,68.6,73.3,61.1,0,0,0,0,0,0
